,shift_id,senior_id,st_time
0,0,422136913,2021-11-03
1,1,805983473,2021-11-03
2,2,608724691,2021-11-03
3,3,353327673,2021-11-03
4,4,311697726,2021-11-03
5,5,619156787,2021-11-03
6,6,269291536,2021-11-03
7,7,692820412,2021-11-03
8,8,783971934,2021-11-03
9,9,663362944,2021-11-03
10,10,428512715,2021-11-03
11,11,672766507,2021-11-03
12,12,875669535,2021-11-03
13,13,527693323,2021-11-03
14,14,408030067,2021-11-03
15,15,596370649,2021-11-03
16,16,761718986,2021-11-03
17,17,333132969,2021-11-03
18,18,160499222,2021-11-03
19,19,651668584,2021-11-03
20,20,448877652,2021-11-03
21,21,840249051,2021-11-03
22,22,721954532,2021-11-03
23,23,974949289,2021-11-03
24,24,289259329,2021-11-03
25,25,375872459,2021-11-03
26,26,586063633,2021-11-03
27,27,228446322,2021-11-03
28,28,512799682,2021-11-03
29,29,379557469,2021-11-03
30,30,199278957,2021-11-03
31,31,270447170,2021-11-03
32,32,856148712,2021-11-03
33,33,798224367,2021-11-03
34,34,762854810,2021-11-03
35,35,453881254,2021-11-03
36,36,525882986,2021-11-03
37,37,338229784,2021-11-03
38,38,941007242,2021-11-03
39,39,127841616,2021-11-03
40,40,610390356,2021-11-03
41,41,529442269,2021-11-03
42,42,274376289,2021-11-03
43,43,659415759,2021-11-03
44,44,915077040,2021-11-03
45,45,412625900,2021-11-03
46,46,309641530,2021-11-03
47,47,543330868,2021-11-03
48,48,851752253,2021-11-03
49,49,656277257,2021-11-03
50,50,168334005,2021-11-03
51,51,812040879,2021-11-03
52,52,720325098,2021-11-03
53,53,981177526,2021-11-03
54,54,567545245,2021-11-03
55,55,905270478,2021-11-03
56,56,358012480,2021-11-03
57,57,206802536,2021-11-03
58,58,138825986,2021-11-03
59,59,160535335,2021-11-03
60,60,662102783,2021-11-03
61,61,269944392,2021-11-03
62,62,402904539,2021-11-03
63,63,559489082,2021-11-03
